,,,Model I,Model I,Model I,Model II,Model II,Model II
,,,SPCA,SPCA-LS,PCA,SPCA,SPCA-LS,PCA
,ut,omega,,,,,,
Loadings,Normal,10,0.7945013545256177,0.8139632953355136,0.8139632953355136,0.9923468580432833,0.9897036941537192,0.9897036941537192
Loadings,Normal,1,0.9729284061670856,0.9744638021539573,0.9744638021539573,-0.9781892023461125,-0.9914277146029152,-0.9914277146029152
Loadings,Normal,0.1,0.9708018589224419,0.9712783627249588,0.9712783627249588,0.9916908430989306,-0.9925342702283315,0.9921163047384612
Loadings,LogN,10,0.655323491181082,0.6660191126764375,0.6357598954570153,-0.8596551195144814,-0.7896263284983563,-0.9221296853251784
Loadings,LogN,1,0.9157424673250532,0.9168318380911725,0.8626316310343503,0.9786740261068022,0.979406775768735,-0.8845031166882333
Loadings,LogN,0.1,0.8917836462406346,0.8411691300805163,0.790547045637928,-0.4560222647017499,-0.4690347810776585,0.9264063682803231
Factors,Normal,10,0.7945013545256177,0.8139632953355136,0.8139632953355136,0.9923468580432833,0.9897036941537192,0.9897036941537192
Factors,Normal,1,0.9729284061670856,0.9744638021539573,0.9744638021539573,-0.9781892023461125,-0.9914277146029152,-0.9914277146029152
Factors,Normal,0.1,0.9708018589224419,0.9712783627249588,0.9712783627249588,0.9916908430989306,-0.9925342702283315,0.9921163047384612
Factors,LogN,10,0.655323491181082,0.6660191126764375,0.6357598954570153,-0.8596551195144814,-0.7896263284983563,-0.9221296853251784
Factors,LogN,1,0.9157424673250532,0.9168318380911725,0.8626316310343503,0.9786740261068022,0.979406775768735,-0.8845031166882333
Factors,LogN,0.1,0.8917836462406346,0.8411691300805163,0.790547045637928,-0.4560222647017499,-0.4690347810776585,0.9264063682803231
